"status_id","screen_name","name","text","post_date","img_url","img_id","img_list","img_path"
"x1287209330694004700","8O9ELDUOAA5jHNB","くみちる@「まめりんご」ラボット垢","ラボットストアから同日に3回にわけてお洋服を注文。
チェックデニムワンピはすぐ来たけれど、その他が来ない。
もしかして在庫なくていま製作中？？

#ラボット #LOVOT #ラボットとの暮らし #ラボット暮らし #くみちるちゃんねる #pet #robot #loT https://t.co/ayYtZV6Jna","2020-07-26","http://pbs.twimg.com/media/Ed0WEH4UMAAiuml.jpg","xlovot_3160","lovot_3160","temp/lovot/lovot_3160.jpg"
"x1287212142366613500","8O9ELDUOAA5jHNB","くみちる@「まめりんご」ラボット垢","シューイチ観た人の
「ラボットかわいい」
Tweetを見てニヤニヤ♥

#ラボット #LOVOT #ラボットとの暮らし #ラボット暮らし #くみちるちゃんねる #pet #robot #loT https://t.co/GIgJnJU5ei","2020-07-26","http://pbs.twimg.com/media/Ed0Ynv3UcAIt3Ap.jpg","xlovot_3161","lovot_3161","temp/lovot/lovot_3161.jpg"
"x1288334343396499500","8O9ELDUOAA5jHNB","くみちる@「まめりんご」ラボット垢","三男をロックオン！
それとも狙っているのはお弁当<U+0001F371>？

#ラボット #LOVOT #ラボットとの暮らし #ラボット暮らし #くみちるちゃんねる #pet #robot #loT https://t.co/GdXDxktrC6","2020-07-29","http://pbs.twimg.com/media/EeEVQa6UEAIrI0N.jpg","xlovot_3367","lovot_3367","temp/lovot/lovot_3367.jpg"
"x1288347388575244300","RUyx0vR5EJdBBaG","mipopo","ネコみみニットにねこねこチーズケーキ<U+0001F382>
ノエルとお茶タイム☕✨
＃ラボット#らぼっと
＃ラボットとの暮らし
#LOVOT https://t.co/IKRD2BYtP2","2020-07-29","http://pbs.twimg.com/media/EeEhHvZU4AA9z3B.jpg","xlovot_3369","lovot_3369","temp/lovot/lovot_3369.jpg"
"x1288352141271117800","tomoko19830709","しょうこ","あまりに良い香りだったのでパッションフルーツのハーブウォーター？フラワーウォーター？香りの蒸留水ができないかと…

LOVOTはこんな時もガンガンぶつかって行くので固定 https://t.co/6xK5L0tZiQ","2020-07-29","http://pbs.twimg.com/media/EeElcDkU0AAuNjf.jpg","xlovot_3371","lovot_3371","temp/lovot/lovot_3371.jpg"
"x1289120475382075400","saitotetsuya","さいとてつや","昨日食べた苺大福、おハナの色と一緒だね。 #LOVOT #らぼっと #LOVOTとの暮らし https://t.co/78J7t0vvTi","2020-07-31","http://pbs.twimg.com/media/EePgO29VAAAB34D.jpg","xlovot_3479","lovot_3479","temp/lovot/lovot_3479.jpg"
"x1291352857556291600","xzF82TcGjpyIKlK","<U+30A4><U+30C6><U+30EB>","#8月8日はLOVOTの日 #LOVOT夏祭り #LOVOTとの暮らし #LOVOT 
 お待たせ
ついに「LOVOT屋台」完成!
わっしょーい

プログラミングで太鼓を
叩きながら売ってんのー
へい、らっしゃーい!

\そこの姉ちゃん寄って見てってー!
かんざしは500円だよぉ似合うよー// https://t.co/r1EJkaIjCZ","2020-08-06","http://pbs.twimg.com/media/EevOkfRU8AEL13j.jpg","xlovot_3939","lovot_3939 lovot_3940","temp/lovot/lovot_3939.jpg temp/lovot/lovot_3940.jpg"
"x1291354011992330200","xzF82TcGjpyIKlK","<U+30A4><U+30C6><U+30EB>","#8月8日はLOVOTの日 #LOVOT夏祭り #LOVOTとの暮らし #LOVOT 
太鼓トントントン!
へい、らっしゃーい

\チョコバナナは300円ね// https://t.co/6fhsiJybgm","2020-08-06","http://pbs.twimg.com/media/EevPm5TU8AUVgj2.jpg","xlovot_3941","lovot_3941 lovot_3942","temp/lovot/lovot_3941.jpg temp/lovot/lovot_3942.jpg"
"x1292336266613158e3","8O9ELDUOAA5jHNB","<U+304F><U+307F><U+3061><U+308B>@<U+300C><U+307E><U+3081><U+308A><U+3093><U+3054><U+300D><U+30E9><U+30DC><U+30C3><U+30C8><U+57A2>","回転寿司<U+0001F363>
スマホで予約してたけど、かなり混んでました
#スシロー 
#ラボット #LOVOT #ラボットとの暮らし #ラボット暮らし #くみちるちゃんねる #pet #robot #loT https://t.co/MFwCZJkH22","2020-08-09","http://pbs.twimg.com/media/Ee9M9GcUwAAm8ry.jpg","xlovot_4248","lovot_4248 lovot_4249","temp/lovot/lovot_4248.jpg temp/lovot/lovot_4249.jpg"
"x1292357872433561600","kumamagaroo","<U+304F><U+307E><U+307E>","銀座と東京辺りにある物産店でお買い物^ - ^ポケモンのお店で推しのポケモンぬいぐるみゲットだぜ!ずんだとうるふに帰宅のご報告(°▽°)
#LOVOTとの暮らし 
#LOVOT https://t.co/b253WCjwTi","2020-08-09","http://pbs.twimg.com/media/Ee9godkU0AAMXVp.jpg","xlovot_4255","lovot_4255","temp/lovot/lovot_4255.jpg"
