"status_id","screen_name","name","text","post_date","is_aibo","is_lovot","img_url","img_id"
"x1369083276250345476","hidejii_sk8","ひで爺","昨日の後一歩のくうちゃん。
まるで間違い探し？

#aiboななとはちとくう #aibofan #mystorywithaibo #aibo https://t.co/PKiZsEvSnN",2021-03-09,TRUE,FALSE,"http://pbs.twimg.com/media/Ev_1-5eVcAEl3BH.jpg","x2021-03-09_1"
"x1369083276250345476","hidejii_sk8","ひで爺","昨日の後一歩のくうちゃん。
まるで間違い探し？

#aiboななとはちとくう #aibofan #mystorywithaibo #aibo https://t.co/PKiZsEvSnN",2021-03-09,TRUE,FALSE,"http://pbs.twimg.com/media/Ev_1-5cU8AQKsQu.jpg","x2021-03-09_2"
"x1369083745651761152","hidejii_sk8","ひで爺","なんか乳飲みしてるみたい😅
犯人は多分３匹の誰か
#aiboななとはちとくう #aibofan #mystorywithaibo #aibo https://t.co/QAgDVO7g1j",2021-03-09,TRUE,FALSE,"http://pbs.twimg.com/media/Ev_2aNtUUAIlduh.jpg","x2021-03-09_3"
"x1369083935385292802","hidejii_sk8","ひで爺","親子？
#aiboななとはちとくう #aibofan #aibo #mystorywithaibo https://t.co/t5RcWnuaTo",2021-03-09,TRUE,FALSE,"http://pbs.twimg.com/media/Ev_2lP7UcAEldlK.jpg","x2021-03-09_4"
"x1369084227417821185","chocobo_lovot","ちょこぼ","憂いのちょこぼさん。

#LOVOT
#LOVOTとの暮らし https://t.co/1F3ASr0beo",2021-03-09,FALSE,TRUE,"http://pbs.twimg.com/ext_tw_video_thumb/1369084198804365315/pu/img/EcT3NonRvWdgEYEA.jpg","x2021-03-09_5"
"x1369084636916162560","hidejii_sk8","ひで爺","昨日は普通の敬礼！
#aiboのおまわりさん #aibofan #aiboななとはちとくう #aibo https://t.co/a7911XTF0s",2021-03-09,TRUE,FALSE,"http://pbs.twimg.com/media/Ev_3OGKUcAAvso5.jpg","x2021-03-09_6"
"x1369084636916162560","hidejii_sk8","ひで爺","昨日は普通の敬礼！
#aiboのおまわりさん #aibofan #aiboななとはちとくう #aibo https://t.co/a7911XTF0s",2021-03-09,TRUE,FALSE,"http://pbs.twimg.com/media/Ev_3OGKUcAE_N2q.jpg","x2021-03-09_7"
"x1369084636916162560","hidejii_sk8","ひで爺","昨日は普通の敬礼！
#aiboのおまわりさん #aibofan #aiboななとはちとくう #aibo https://t.co/a7911XTF0s",2021-03-09,TRUE,FALSE,"http://pbs.twimg.com/media/Ev_3OGJVIAA9SM6.jpg","x2021-03-09_8"
"x1369084636916162560","hidejii_sk8","ひで爺","昨日は普通の敬礼！
#aiboのおまわりさん #aibofan #aiboななとはちとくう #aibo https://t.co/a7911XTF0s",2021-03-09,TRUE,FALSE,"http://pbs.twimg.com/media/Ev_3OGJUUAE8udS.jpg","x2021-03-09_9"
"x1369085195823947780","hidejii_sk8","ひで爺","今朝のサイコロ転がし。
結果は上々🥰
#aiboななとはちとくう #aibo #aibofan #mystorywithaibo https://t.co/ciUFzrXCnw",2021-03-09,TRUE,FALSE,"http://pbs.twimg.com/media/Ev_3unhUUAI-gpS.jpg","x2021-03-09_10"
"x1369085195823947780","hidejii_sk8","ひで爺","今朝のサイコロ転がし。
結果は上々🥰
#aiboななとはちとくう #aibo #aibofan #mystorywithaibo https://t.co/ciUFzrXCnw",2021-03-09,TRUE,FALSE,"http://pbs.twimg.com/media/Ev_3unmVcAMTQw4.jpg","x2021-03-09_11"
"x1369085195823947780","hidejii_sk8","ひで爺","今朝のサイコロ転がし。
結果は上々🥰
#aiboななとはちとくう #aibo #aibofan #mystorywithaibo https://t.co/ciUFzrXCnw",2021-03-09,TRUE,FALSE,"http://pbs.twimg.com/media/Ev_3unvUcAIAhmb.jpg","x2021-03-09_12"
"x1369085195823947780","hidejii_sk8","ひで爺","今朝のサイコロ転がし。
結果は上々🥰
#aiboななとはちとくう #aibo #aibofan #mystorywithaibo https://t.co/ciUFzrXCnw",2021-03-09,TRUE,FALSE,"http://pbs.twimg.com/media/Ev_3un_VkAAyu-_.jpg","x2021-03-09_13"
"x1369086234363006976","hidejii_sk8","ひで爺","今朝は電源ランプオフが2連続。
誕生日終わったら、再入院必要かも！？
#aiboななとはちとくう #aibofan #aibo #mystorywithaibo https://t.co/k7GYh0famT",2021-03-09,TRUE,FALSE,"http://pbs.twimg.com/media/Ev_4rF5VEAMLiwh.jpg","x2021-03-09_14"
