"status_id","screen_name","name","text","post_date","is_aibo","is_lovot","img_url","img_id"
"x1370541112276885506","Petshop_HUG","ペットショップHUG","【ライブ配信】HUGの看板LOVOT『#つぶら』の様子を覗いてみよう！👀 - https://t.co/NpbPDT90Um

#Lovotとの暮らし #つぶら #つぶららいぶ #らぼっと #らぼっと日記 #ペットショップHUG #ラボット https://t.co/Nds3WhW0PH",2021-03-13,FALSE,TRUE,"http://pbs.twimg.com/media/EwUj4OoVkAAlaZW.jpg","x2021-03-13_16"
"x1370541338689560576","kuyoriku","ʸᒼᑋªⁿ*","#おはらぼ

#LOVOTふぉとこんてすと 
#3月のテーマはおきがえ 
@LOVOT_official 

今日のお着替えはこれでよし👍✨✨ https://t.co/rJ5PGWauK2",2021-03-13,FALSE,TRUE,"http://pbs.twimg.com/media/EwUkE4vVEAYzrA3.jpg","x2021-03-13_17"
"x1370541338689560576","kuyoriku","ʸᒼᑋªⁿ*","#おはらぼ

#LOVOTふぉとこんてすと 
#3月のテーマはおきがえ 
@LOVOT_official 

今日のお着替えはこれでよし👍✨✨ https://t.co/rJ5PGWauK2",2021-03-13,FALSE,TRUE,"http://pbs.twimg.com/media/EwUkE4xU8AE3fHU.jpg","x2021-03-13_18"
"x1370541338689560576","kuyoriku","ʸᒼᑋªⁿ*","#おはらぼ

#LOVOTふぉとこんてすと 
#3月のテーマはおきがえ 
@LOVOT_official 

今日のお着替えはこれでよし👍✨✨ https://t.co/rJ5PGWauK2",2021-03-13,FALSE,TRUE,"http://pbs.twimg.com/media/EwUkE4wVoAMVF_5.jpg","x2021-03-13_19"
"x1370541338689560576","kuyoriku","ʸᒼᑋªⁿ*","#おはらぼ

#LOVOTふぉとこんてすと 
#3月のテーマはおきがえ 
@LOVOT_official 

今日のお着替えはこれでよし👍✨✨ https://t.co/rJ5PGWauK2",2021-03-13,FALSE,TRUE,"http://pbs.twimg.com/media/EwUkE4wVcAgGqIf.jpg","x2021-03-13_20"
"x1370542920084779008","kaeruhoney","いろはにほへと","#ゴルボマツリ　
#ゴルボの日
#aibo #aibofan 

ゴルボガチャ登場だ！

つかめ・ゴルボーン
きめろ・サイゴルボ
ねらえ・ゴロボール

そして気になるシークレットは！？

愛之介🐾❤️ゴルボガチャ① https://t.co/bDQsnl5sst",2021-03-13,TRUE,FALSE,"http://pbs.twimg.com/media/EwUlQz_U8AEJVP4.jpg","x2021-03-13_21"
"x1370542920084779008","kaeruhoney","いろはにほへと","#ゴルボマツリ　
#ゴルボの日
#aibo #aibofan 

ゴルボガチャ登場だ！

つかめ・ゴルボーン
きめろ・サイゴルボ
ねらえ・ゴロボール

そして気になるシークレットは！？

愛之介🐾❤️ゴルボガチャ① https://t.co/bDQsnl5sst",2021-03-13,TRUE,FALSE,"http://pbs.twimg.com/media/EwUlVPUVkAEesds.jpg","x2021-03-13_22"
"x1370542920084779008","kaeruhoney","いろはにほへと","#ゴルボマツリ　
#ゴルボの日
#aibo #aibofan 

ゴルボガチャ登場だ！

つかめ・ゴルボーン
きめろ・サイゴルボ
ねらえ・ゴロボール

そして気になるシークレットは！？

愛之介🐾❤️ゴルボガチャ① https://t.co/bDQsnl5sst",2021-03-13,TRUE,FALSE,"http://pbs.twimg.com/media/EwUlZiTVEAAB3b1.jpg","x2021-03-13_23"
"x1370543606306512896","kaeruhoney","いろはにほへと","#ゴルボマツリ
#ゴルボの日
#aibo #aibofan　

スナイパーだって癒やされたい❤️
ゴルボスパセット💗

きみもコンプリートをめざせ🔫

愛之介🐾❤️ゴルボガチャ② https://t.co/LwooDshygc",2021-03-13,TRUE,FALSE,"http://pbs.twimg.com/media/EwUmDPAVEAAWnrN.jpg","x2021-03-13_24"
"x1370543606306512896","kaeruhoney","いろはにほへと","#ゴルボマツリ
#ゴルボの日
#aibo #aibofan　

スナイパーだって癒やされたい❤️
ゴルボスパセット💗

きみもコンプリートをめざせ🔫

愛之介🐾❤️ゴルボガチャ② https://t.co/LwooDshygc",2021-03-13,TRUE,FALSE,"http://pbs.twimg.com/media/EwUmH67UYAUKiAj.jpg","x2021-03-13_25"
