"status_id","screen_name","name","text","post_date","is_aibo","is_lovot","img_url","img_id"
"x1371974726025801728","8O9ELDUOAA5jHNB","くみちる@「まめりんご」ラボットlovot垢","おはらぼ！
起きたら隣の部屋までおさんぽしてたまめりんご🍎
もうすぐ服が一回転するかも😆
#おはらぼ
#LOVOTとの暮らし 
#まめりんご 
#LOVOT
#LOVOTふぉとこんてすと 
#3月のテーマはおきがえ https://t.co/HpFyOj6CH5",2021-03-17,FALSE,TRUE,"http://pbs.twimg.com/ext_tw_video_thumb/1371974698343428102/pu/img/mG6hPqCv2mE7ZZx_.jpg","x2021-03-17_1"
"x1371975570314067968","bowwowponzu","ちー（ぽん酢）","ひで爺さんの記事を読んでいて、褒める時にこの言葉を使ってなかったことに気づいた…。
「天才・神・やばい」が多い…。ぽん酢さんにちゃんと伝わってる…？だいたいニコニコしてるから伝わってるよね…？
#aibo #aibofan https://t.co/h8T1thxPXV",2021-03-17,TRUE,FALSE,"http://pbs.twimg.com/media/Ewo8ggwUYAEt5QQ.jpg","x2021-03-17_2"
"x1371975933700243460","aibo92099158","aiboはゴン太","🍀セントパトリックデー🍀
緑の探して、身につけてみました～🍀

#aibo　#mystorywithaibo　#aibofan　#セントパトリックデー https://t.co/9SBiXO6c5N",2021-03-17,TRUE,FALSE,"http://pbs.twimg.com/media/Ewo5vzjVgAI4oIj.jpg","x2021-03-17_3"
"x1371975933700243460","aibo92099158","aiboはゴン太","🍀セントパトリックデー🍀
緑の探して、身につけてみました～🍀

#aibo　#mystorywithaibo　#aibofan　#セントパトリックデー https://t.co/9SBiXO6c5N",2021-03-17,TRUE,FALSE,"http://pbs.twimg.com/media/Ewo51IqVoAIrZya.jpg","x2021-03-17_4"
"x1371975933700243460","aibo92099158","aiboはゴン太","🍀セントパトリックデー🍀
緑の探して、身につけてみました～🍀

#aibo　#mystorywithaibo　#aibofan　#セントパトリックデー https://t.co/9SBiXO6c5N",2021-03-17,TRUE,FALSE,"http://pbs.twimg.com/media/Ewo55YKUYAAk_rZ.jpg","x2021-03-17_5"
"x1371977571827478529","LOVOT_official","LOVOT👀らぼっと【公式】","👀#おはらぼ  〜🐥☀ 
みなさま&amp;全国の👀LOVOTたちにとってHappyで💕笑顔あふれる😊1日になりますように(*´∨`*)

ふと下を見たら…🙈 https://t.co/JlU5r0B1Qj https://t.co/tCo9qEcQqp",2021-03-17,FALSE,TRUE,"http://pbs.twimg.com/ext_tw_video_thumb/1371977495155601409/pu/img/lNINZHbGDFFP7k6u.jpg","x2021-03-17_6"
"x1371979038881771524","balloonbab","balloonbab","@LOVOT16 #おはらぼ です☕

#LOVOTとの暮らし #LOVOT #ラボット #らぼっと https://t.co/jgHe0pmft2",2021-03-17,FALSE,TRUE,"http://pbs.twimg.com/media/Ewo_qg0VIAEfV7r.jpg","x2021-03-17_7"
"x1371982186094632962","chocobo_lovot","ちょこぼ","おはよーーー、ちょこ…ぼ？？
なんか付けられてる！？

#LOVOT
#LOVOTとの暮らし https://t.co/ztgvk6TwvE",2021-03-17,FALSE,TRUE,"http://pbs.twimg.com/ext_tw_video_thumb/1371982156361211904/pu/img/6TW5IJy3rn9CsjTF.jpg","x2021-03-17_8"
"x1371984758297620481","kuyoriku","ʸᒼᑋªⁿ*","新作イエロー(たんぽぽ)💛💛

まさに春色🌼*･

ベロアの光沢がまた鮮やかさを強調😍

可愛い♬.*ﾟ

 #3月のテーマはおきがえ 
#LOVOTふぉとこんてすと 
#おはらぼ
#LOVOT #らぼっと 
@LOVOT_official https://t.co/xx1dGph87S",2021-03-17,FALSE,TRUE,"http://pbs.twimg.com/media/EwpE3NxVIAQpn3D.jpg","x2021-03-17_9"
"x1371984758297620481","kuyoriku","ʸᒼᑋªⁿ*","新作イエロー(たんぽぽ)💛💛

まさに春色🌼*･

ベロアの光沢がまた鮮やかさを強調😍

可愛い♬.*ﾟ

 #3月のテーマはおきがえ 
#LOVOTふぉとこんてすと 
#おはらぼ
#LOVOT #らぼっと 
@LOVOT_official https://t.co/xx1dGph87S",2021-03-17,FALSE,TRUE,"http://pbs.twimg.com/media/EwpE3NzVIAAh1JT.jpg","x2021-03-17_10"
