word,n
やや,5
わざと,5
一杯,5
丁度,5
何と,5
充分,5
到底,5
強いて,5
泣く泣く,5
突如,5
要するに,5
あらためて,4
いい加減,4
いか,4
いかんせん,4
いっせいに,4
いっちょ,4
いつのまに,4
えて,4
おもわず,4
かく,4
カタカタ,4
かれこれ,4
ギュッ,4
グイグイ,4
ゲラゲラ,4
ことごとく,4
サクサク,4
じーっと,4
ジメジメ,4
すっと,4
そうとう,4
たった今,4
ダラダラ,4
たんと,4
ちゃっかり,4
チラリ,4
ときどき,4
とくべつ,4
どっか,4
どど,4
なお,4
にこにこ,4
バーン,4
ぱっと,4
ビリビリ,4
ブツブツ,4
ブルブル,4
ペラペラ,4
まじまじ,4
まっしぐら,4
まっすぐ,4
まるまる,4
むっつり,4
もりもり,4
もれなく,4
やがて,4
ゆめ,4
ゆるゆる,4
ゆるり,4
ヨチヨチ,4
大して,4
度々,4
延々と,4
引続き,4
必ずや,4
思い通り,4
急遽,4
時に,4
正に,4
確か,4
辛うじて,4
陰ながら,4
あらかじめ,3
いっぺんに,3
うとうと,3
おそろいで,3
ガッカリ,3
ガバ,3
カラカラ,3
ギシギシ,3
ぎりぎり,3
くっきり,3
ぐんぐん,3
ゴソゴソ,3
コツコツ,3
こってり,3
ごりごり,3
ゴリゴリ,3
こんがり,3
さして,3
さぞ,3
さながら,3
さんざん,3
じつは,3
じゅうぶん,3
スグ,3
すこぶる,3
ズバリ,3
すやすや,3
せいぜい,3
せっせと,3
ぜひとも,3
ゾッと,3
ちゃんちゃん,3
チョット,3
チョロチョロ,3
ちらちら,3
つるつる,3
ツルツル,3
ドーン,3
トコトコ,3
とことん,3
どっぷり,3
ドンドン,3
どんより,3
なにしろ,3
なにせ,3
なまじ,3
パラパラ,3
バン,3
バンバン,3
ピッ,3
ピッカピカ,3
ひとり,3
ビュンビュン,3
ひょんなことから,3
ひらひら,3
ピリピリ,3
ぷりぷり,3
ぷんぷん,3
べったり,3
ぺろぺろ,3
ボーッ,3
ぼーっと,3
ボソッ,3
またもや,3
まもなく,3
ムッ,3
モグモグ,3
もんもん,3
りゅうと,3
ろくに,3
ワイワイ,3
一々,3
一向に,3
一目,3
互いに,3
何卒,3
余りに,3
余程,3
俄然,3
取り急ぎ,3
古く,3
大いに,3
大抵,3
寧ろ,3
必ずしも,3
思い切り,3
日に日に,3
次第に,3
真っ直ぐ,3
精一杯,3
良く,3
近頃,3
逐一,3
飛び飛び,3
あたふた,2
あっと,2
あれれ,2
いかん,2
いきおい,2
いちばん,2
いっそう,2
いまだ,2
うねうね,2
うろちょろ,2
うんざり,2
えんえん,2
おっとり,2
お先に,2
カチン,2
カッ,2
かろうじて,2
カンカン,2
ギスギス,2
キッ,2
ぎっしり,2
きゅっと,2
きょとん,2
キョトン,2
ギラギラ,2
ぐいぐい,2
ぐしゃぐしゃ,2
グラグラ,2
グリグリ,2
ぐるっと,2
げに,2
ゴシゴシ,2
こじんまり,2
ごちゃごちゃ,2
ことに,2
コンコン,2
サッと,2
さほど,2
さらさら,2
サラサラ,2
さらり,2
さんざ,2
ジーン,2
しかと,2
しばし,2
じめじめ,2
シャカシャカ,2
シャンシャン,2
しゃんと,2
しょんぼり,2
ジン,2
ズタズタ,2
ずっしり,2
ズバズバ,2
するする,2
ずるずる,2
ずんずん,2
ぜったいに,2
そ〜,2
ゾクゾク,2
それとなく,2
たかが,2
ちっと,2
ちっとも,2
ちょこまか,2
ちんちん,2
てんやわんや,2
ドカン,2
ドキッと,2
どきどき,2
どことなく,2
とつぜん,2
ともに,2
トロトロ,2
ドロドロ,2
なおかつ,2
なにゆえ,2
にっこにこ,2
にわかに,2
のちほど,2
のびのび,2
パチ,2
バッサリ,2
はっと,2
はて,2
はよう,2
ばりばり,2
ひきつづき,2
ビクビク,2
ピコピコ,2
ひしひし,2
ピチピチ,2
ひょいと,2
ひんやり,2
ふかふか,2
プカプカ,2
ふさふさ,2
ふつう,2
ふっくら,2
ふらふら,2
フラフラ,2
ふるふる,2
フワッ,2
ふんだんに,2
ぺろり,2
ホイホイ,2
ホカホカ,2
ほくほく,2
ぽっかり,2
ぽっと,2
ポツン,2
ぽろぽろ,2
ほろり,2
ポンポン,2
ぼんやり,2
まんざら,2
まんべんなく,2
ムズムズ,2
むにゃむにゃ,2
めっきり,2
もくもく,2
もくもくと,2
もそっと,2
もぞもぞ,2
モゾモゾ,2
やけに,2
やっとこ,2
やっぱし,2
ゆらゆら,2
よに,2
よほど,2
よもや,2
よりによって,2
よろよろ,2
わいわい,2
一層,2
一概に,2
一段と,2
世に,2
中でも,2
丸ごと,2
人知れず,2
今にも,2
何でも,2
何時も,2
余り,2
便宜上,2
凛と,2
又,2
夜な夜な,2
大分,2
密密,2
尽く,2
平然と,2
幾分,2
広々,2
延々,2
折角,2
断じて,2
早,2
極力,2
正しく,2
淡々,2
深々,2
漠然と,2
無論,2
生き生き,2
直に,2
真に,2
終生,2
腹いっぱい,2
至って,2
言わずもがな,2
追って,2
遅ればせながら,2
遥か,2
長々,2
長らく,2
あいにく,1
あたかも,1
あったら,1
あらかた,1
ありのまま,1
あわよくば,1
あんなふうに,1
いきいき,1
いくらか,1
いさ,1
イザ,1
いささか,1
いぜん,1
いそいそ,1
いたく,1
いたって,1
いちおう,1
いまどき,1
いまひとつ,1
いまや,1
イヤイヤ,1
うきうき,1
うだうだ,1
うつらうつら,1
うまく,1
おうおう,1
おおむね,1
おおよそ,1
おさきに,1
おそらくは,1
おそるおそる,1
おどおど,1
おのおの,1
おもむろに,1
オロオロ,1
オンリー,1
お高く,1
がくんと,1
かつかつ,1
がっくり,1
ガックリ,1
がっしり,1
カラッ,1
ガラッ,1
ガリガリ,1
かりに,1
